,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[KaLM-Embedding-Gemma3-12B-2511](https://kalm-embedding.github.io/),73%,44884.0,11.76,3840.0,32768.0,72.32,62.51,83.76,77.88,55.77,5.49,33.03,84.73,67.27,75.66,79.02
1,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),99%,28629.0,7.505,4096.0,32768.0,69.46,61.09,81.72,73.21,54.35,10.82,29.86,83.97,67.78,68.69,79.41
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),99%,14433.0,7.567,4096.0,32768.0,70.58,61.69,80.89,74.0,57.65,10.06,28.66,86.4,65.63,70.88,81.08
3,4,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),99%,,,3072.0,2048.0,68.37,59.59,79.28,71.82,54.59,5.18,29.16,83.63,65.58,67.71,79.4
4,5,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),99%,7671.0,4.022,2560.0,32768.0,69.45,60.86,79.36,72.33,57.15,11.56,26.77,85.05,65.08,69.6,80.86
5,6,[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),99%,14433.0,7.567,4096.0,32768.0,67.84,60.28,80.35,66.68,55.68,8.9,25.23,85.12,67.64,71.61,81.27
6,7,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),89%,,,2048.0,32768.0,70.26,61.34,78.68,76.75,56.78,-0.02,46.16,85.5,66.24,66.05,75.92
7,8,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,1137.0,0.596,1024.0,32768.0,67.0,58.9,69.71,71.32,53.41,1.35,41.97,82.93,65.66,64.88,78.85
8,9,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),99%,1136.0,0.596,1024.0,32768.0,64.34,56.01,72.23,66.83,52.33,5.09,24.59,80.83,61.41,64.65,76.17
9,10,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,404.0,0.212,768.0,8192.0,65.52,57.66,67.7,69.18,52.73,0.05,41.31,81.94,64.63,63.26,78.17
10,11,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040.0,7.069,3584.0,32768.0,62.51,55.93,73.92,61.55,52.77,4.94,25.48,85.13,65.55,60.08,73.98
11,12,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99%,13563.0,7.111,4096.0,32768.0,61.47,54.14,70.34,62.24,50.6,0.94,24.77,80.43,64.37,58.69,74.86
12,13,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99%,1068.0,0.56,1024.0,514.0,63.22,55.08,80.13,64.94,50.75,-0.4,22.91,80.86,62.61,57.12,76.81
13,14,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),99%,1155.0,0.308,768.0,2048.0,61.15,54.31,64.4,60.9,51.17,5.61,24.82,81.4,63.25,62.49,74.73
14,15,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),97%,7671.0,4.022,2560.0,32768.0,63.52,54.81,69.25,66.94,52.8,-0.55,25.41,80.92,61.88,62.21,74.4
15,16,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96%,13563.0,7.111,4096.0,32768.0,60.9,53.92,70.0,60.02,51.84,0.16,24.55,80.29,64.19,59.44,74.79
16,17,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,62.16,54.25,70.73,64.64,47.84,4.08,22.8,81.14,61.22,59.68,76.11
17,18,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99%,13813.0,7.24,4096.0,32768.0,60.92,53.74,70.53,61.83,49.75,3.45,22.77,79.94,63.78,58.31,73.33
18,19,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99%,89079.0,57.92,32768.0,32768.0,60.49,53.31,68.17,61.55,50.16,2.44,24.43,79.73,62.61,57.54,73.16
19,20,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99%,13563.0,7.111,4096.0,32768.0,60.25,53.08,70.58,60.31,50.57,-0.62,22.2,81.12,63.82,55.75,74.02
20,21,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,61.13,53.25,70.51,62.95,46.96,-1.89,22.74,79.88,64.07,59.22,74.8
